,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.043511797,0.040562613,0.025816697,0.593326382,14.62741997,1,0.024051745,2.359231933,0.97401645,0.443146417,0.576133238,0.614895853
1,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.040562613,0.043511797,0.025816697,0.636465324,14.62741997,1,0.024051745,2.631078319,0.971022452,0.443146417,0.619927696,0.614895853
2,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.041696915,0.031352087,0.021914701,0.525571273,16.76351789,1,0.020607415,2.041714293,0.981262259,0.428571429,0.510215507,0.612279124
3,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.031352087,0.041696915,0.021914701,0.698986975,16.76351789,1,0.020607415,3.183593423,0.970782714,0.428571429,0.685889538,0.612279124
4,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.041696915,0.036932849,0.02168784,0.520130577,14.0831424,1,0.020147854,2.006935854,0.969414723,0.380876494,0.501727971,0.553677082
5,CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.036932849,0.041696915,0.02168784,0.587223587,14.0831424,1,0.020147854,2.321603308,0.964619258,0.380876494,0.569263191,0.553677082
6,DOTCOM POSTAGE,JUMBO BAG RED RETROSPOT,0.032168784,0.089745917,0.022005445,0.684062059,7.622208183,1,0.019118428,2.88111672,0.897681754,0.220254314,0.652912361,0.464629614
7,JUMBO BAG RED RETROSPOT,DOTCOM POSTAGE,0.089745917,0.032168784,0.022005445,0.245197169,7.622208183,1,0.019118428,1.282230506,0.954463637,0.220254314,0.220109025,0.464629614
8,GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.041197822,0.034346642,0.024682396,0.599118943,17.44330449,1,0.023267389,2.408827606,0.983176128,0.485280999,0.584860287,0.658872549
9,GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.034346642,0.041197822,0.024682396,0.718626156,17.44330449,1,0.023267389,3.407573937,0.976200627,0.485280999,0.706536082,0.658872549
10,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.044010889,0.033303085,0.02654265,0.603092784,18.10921655,1,0.025076951,2.435574045,0.988274332,0.522788204,0.589419175,0.700047754
11,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.033303085,0.044010889,0.02654265,0.797002725,18.10921655,1,0.025076951,4.709369176,0.977327521,0.522788204,0.787657335,0.700047754
12,GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.044010889,0.083121597,0.020871143,0.474226804,5.705217665,1,0.017212888,1.743866766,0.862689585,0.196413322,0.426561697,0.362659254
13,REGENCY CAKESTAND 3 TIER,GREEN REGENCY TEACUP AND SAUCER,0.083121597,0.044010889,0.020871143,0.251091703,5.705217665,1,0.017212888,1.276510241,0.899488795,0.196413322,0.216614197,0.362659254
